324|1|1|10|2017|1|1|210,600|
324|2|1|11|2017|1|1|31,000|
324|5|1|2|2018|1|1|88,000|
324|3|1|12|2017|1|1|50,000|
324|4|1|1|2018|1|1|92,620|
324|9|1|9|2018|1|1|42,000|
324|6|1|3|2018|1|1|137,500|
324|8|1|8|2018|1|1|130,800|
324|7|1|5|2018|1|1|236,470|
324|10|1|10|2018|1|1|180,600|
324|11|1|11|2018|1|1|95,700|
324|13|1|4|2019|1|1|131,600|
324|12|1|12|2018|1|1|73,600|
324|14|1|3|2019|1|1|131,600|
324|15|1|5|2019|1|1|199,450|
324|16|1|6|2019|1|1|59,100|
324|17|1|8|2019|1|1|97,000|
324|18|1|9|2019|1|1|167,810|
324|19|1|10|2019|1|1|82,700|
324|20|1|11|2019|1|1|40,500|
324|21|1|12|2019|1|1|42,900|
324|22|1|1|2020|1|1|75,700|
324|23|1|2|2020|1|1|100,310|
324|24|1|4|2020|1|1|20,000|
324|25|1|6|2020|1|1|88,640|
324|26|1|7|2020|1|1|47,929|
324|27|1|8|2020|1|1|70,431|
324|28|1|11|2020|1|1|22,733|
324|29|1|12|2020|1|1|22,733|
324|30|1|1|2021|1|1|46,550|
324|31|1|5|2021|1|1|35,007|
324|32|1|7|2021|1|1|17,002|
324|33|1|9|2021|1|1|45,382|
324|34|1|12|2021|1|1|36,597|
